phageName,phageNCBIName,test/training,phageVirusgroup,hostSuperkingdom,hostPhylum,hostClass,hostOrder,hostFamily,hostGenus,hostSpecies
Mycobacterium phage Donovan,KF841477,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Bernardo,KF493879,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage HanShotFirst,KF493880,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage JAMaL,KF493881,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Jovo,KF493882,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage HufflyPuff,KF562100,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Echild,KF981601,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Nyxis,KF954506,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage MichelleMyBell,KF986246,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Oaker,KF986247,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Saal,KJ025956,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Hawkeye,KJ194582,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Seabiscuit,KJ194585,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Alsfro,KJ174156,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Soto,KJ174157,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage RhynO,KJ156985,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Lamina13,KJ409696,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage MosMoris,KJ538721,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Manad,KJ595576,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Bernal13,KJ510413,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Kampy,KJ510414,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Phantastic,KJ510415,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage ZoeJ,KJ510412,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Damien,KJ567046,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage OkiRoe,KJ567042,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Pinto,KJ690250,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Wee,HQ728524,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage First,JX899358,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage 20ES,KJ410132,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Jolie2,KJ410133,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage CRB1,KJ410134,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Sparky,KM083128,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Hades,KM101122,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Squirty,KM101124,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Oenococcus phage phiS11,KF183314,Training,0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Oenococcus,Oenococcus oeni
Oenococcus phage phiS13,KF183315,Training,0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Oenococcus,Oenococcus oeni
Pectobacterium phage phiTE,JQ015307,Training,Myoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pectobacterium,Pectobacterium atrosepticum
Prochlorococcus phage P-GSP1,HQ332140,Training,0,Bacteria,Cyanobacteria,,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
Prochlorococcus phage P-SSP3,HQ332137,Training,0,Bacteria,Cyanobacteria,,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
Prochlorococcus phage P-SSP6,HQ634152,Training,Podoviridae,Bacteria,Cyanobacteria,,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
Prochlorococcus phage P-SSM5,HQ632825,Training,Myoviridae,Bacteria,Cyanobacteria,,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
Prochlorococcus phage P-SSM3,HQ337021,Training,Myoviridae,Bacteria,Cyanobacteria,,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
Prochlorococcus phage P-SSP10,HQ337022,Training,Podoviridae,Bacteria,Cyanobacteria,,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
Cyanophage SS120-1,HQ316584,Training,0,Bacteria,Cyanobacteria,,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
Cyanophage MED4-117,JF974321,Training,0,Bacteria,Cyanobacteria,,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
Cyanophage MED4-184,JF974286,Training,Myoviridae,Bacteria,Cyanobacteria,,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
Cyanophage MED4-213,HQ634174,Training,Myoviridae,Bacteria,Cyanobacteria,,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
Cyanophage P-RSM1,HQ634175,Training,Myoviridae,Bacteria,Cyanobacteria,,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
Cyanophage PSS2,GQ334450,Training,Siphoviridae,Bacteria,Cyanobacteria,,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
Cyanophage P-RSM3,HQ634176,Training,Myoviridae,Bacteria,Cyanobacteria,,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
Cyanophage P-RSM6,HQ634193,Training,Myoviridae,Bacteria,Cyanobacteria,,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
Prochlorococcus phage P-HM2,GU075905,Training,Myoviridae,Bacteria,Cyanobacteria,,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
Prochlorococcus phage P-HM1,GU071101,Training,Myoviridae,Bacteria,Cyanobacteria,,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
Prochlorococcus phage P-RSM4,GU071099,Training,Myoviridae,Bacteria,Cyanobacteria,,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
Cyanophage 9515-10a,GU071100,Training,Podoviridae,Bacteria,Cyanobacteria,,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
Prochlorococcus phage P-SSM2,AY939844,Training,Myoviridae,Bacteria,Cyanobacteria,,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
Prochlorococcus phage P-SSM7,GU071103,Training,Myoviridae,Bacteria,Cyanobacteria,,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
Cyanophage NATL1A-7,GU071102,Training,Podoviridae,Bacteria,Cyanobacteria,,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
Prochlorococcus phage P-SSM4,AY940168,Training,Myoviridae,Bacteria,Cyanobacteria,,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
Cyanophage NATL2A-133,GU071104,Training,Podoviridae,Bacteria,Cyanobacteria,,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
Providencia phage Redjac,JX296113,Training,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Providencia,Providencia stuartii
Pseudomonas phage MP29,EU272036,Training,Siphoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
Pseudomonas phage MP38,EU272037,Training,Siphoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
Pseudomonas phage MP42,JQ762257,Training,Siphoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
Pseudomonas phage MP48,KF475786,Training,Siphoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
Pseudomonas phage PAK_P3,KC862299,Training,Myoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
Pseudomonas phage PAK_P1,KC862297,Training,Myoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
Pseudomonas phage PAK_P5,KC862301,Training,Myoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
Pseudomonas phage PAK_P4,KC862300,Training,Myoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
Pseudomonas phage PAK_P2,KC862298,Training,Myoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
Pseudomonas phage phi-2,FN594518,Training,Podoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens
Pseudomonas phage phiPsa374,KJ409772,Training,Myoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae
Rhizobium phage vB_RleS_L338C,KF614509,Training,Siphoviridae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium leguminosarum
Rhizobium phage vB_RleM_P10VF,KM199770,Training,Myoviridae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium leguminosarum
Ruegeria phage DSS3-P1,KM581061,Training,Siphoviridae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,Ruegeria pomeroyi
Salmonella phage iEPS5,KC677662,Training,Siphoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica
Salmonella phage SPC32H,KC911856,Training,Podoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica
Salmonella phage SPC32N,KC911857,Training,Podoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica
Salmonella phage 9NA,KJ802832,Training,Siphoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica
Enterobacteria phage P22,AB426868,Training,Podoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica
Enterobacteria phage P22,AB362338,Training,Podoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica
Salmonella phage SSU5,JQ965645,Training,Siphoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica
Salmonella phage STP4-a,KJ000058,Training,Myoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica
Enterobacteria phage ST104,AB102868,Training,Podoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica
Sinorhizobium phage PBC5,AF448724,Training,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium meliloti
Sodalis phage phiSG1,AP009146,Training,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Sodalis,Sodalis glossinidius
Staphylococcus phage 11,AF424781,Training,Siphoviridae,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
Staphylococcus phage phi 12,AF424782,Training,Siphoviridae,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
Staphylococcus phage phi13,AF424783,Training,Siphoviridae,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
Streptococcus phage SP-QS1,HE962497,Training,Siphoviridae,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae
Streptococcus phage Dp-1,HQ268735,Training,Siphoviridae,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae
Streptococcus phage YMC-2011,CP002889,Training,Siphoviridae,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius
Streptomyces phage R4,JX182370,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces coelicolor
Streptomyces phage phiHau3,JX182369,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces coelicolor
Sulfolobus islandicus rudivirus 1 variant XX,AJ748296,Training,Rudiviridae,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus islandicus
Sulfolobus monocaudavirus SMV1,HG322870,Training,0,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus solfataricus
Synechococcus phage S-CBP3,KC310803,Training,0,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage S-CBP4,KC310804,Training,Podoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage S-CBP1,KC310802,Training,Podoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage S-CBS4,HQ698895,Training,Siphoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage Syn5,EF372997,Training,Podoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Prochlorococcus phage Syn33,GU071108,Training,0,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Cyanophage Syn30,HQ634189,Training,0,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Cyanophage KBS-P-1A,HQ634188,Training,0,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Cyanophage KBS-S-2A,HQ634187,Training,0,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage S-RIM2 R9_2006,HQ317291,Training,Myoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage S-RIM2 R21_2007,HQ317290,Training,Myoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage S-RIM8 A.HR5,HQ317385,Training,Myoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage S-RIM8 A.HR3,JF974289,Training,Myoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage S-MbCM25,KF156339,Training,Myoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage S-RIM2 R1_1999,HQ317292,Training,Myoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage S-CAM1,HQ634177,Training,Myoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage S-CAM8,HQ634178,Training,Myoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage S-IOM18,HQ317383,Training,Myoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage S-RIM8 A.HR1,JF974288,Training,Myoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Cyanophage KBS-M-1A,JF974293,Training,Myoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage S-MbCM7,KF156338,Training,Myoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage S-MbCM100,KF156340,Training,Myoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage S-RIP2,HQ317389,Training,Podoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage S-SKS1,HQ633071,Training,Siphoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage S-PM2,AJ630128,Training,Myoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage P60,AF338467,Training,Podoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Cyanophage S-SSM2,JF974292,Training,Myoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage S-ShM2,GU071096,Training,Myoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage S-SSM5,GU071097,Training,Myoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Cyanophage S-TIM5,JQ245707,Training,Myoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage Syn19,GU071106,Training,Myoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Synechococcus phage S-SSM7,GU071098,Training,Myoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Cyanophage S-SSM6b,HQ316603,Training,Myoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Cyanophage S-SSM6a,HQ317391,Training,Myoviridae,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,
Thermoanaerobacterium phage THSA-485A,CP003186,Training,Siphoviridae,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermoanaerobacterium,Thermoanaerobacterium saccharolyticum
Thermus phage TMA,AP011617,Training,Myoviridae,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,Thermus thermophilus
Thermus phage phiYS40,AP011616,Training,Myoviridae,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,Thermus thermophilus
Yersinia phage Yepe2,EU734170,Training,Podoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,Yersinia pestis
Agrobacterium phage 7-7-1,JQ312117,Training,Myoviridae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,
Sulfitobacter phage pCB2047-C,HQ317384,Training,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,
Sulfitobacter phage pCB2047-A,HQ332142,Training,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,
Sulfitobacter phage pCB2047-B,HQ317387,Training,Podoviridae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,
Vibrio phage SIO-2,HQ316604,Training,Siphoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,,,
Cellulophaga phage phi48:2,KC821605,test,0,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga baltica
Flavobacterium phage 6H,KC959568,test,0,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium psychrophilum
Idiomarinaceae phage 1N2-2,KJ847052,test,0,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,Idiomarina baltica
Halovirus VNH-1,KF771641,test,0,Archaea,Nanohaloarchaeota,Nanohaloarchaea,,,,
Paenibacillus phage phiIBB_Pl23,KF010834,test,0,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus larvae
Pyrococcus abyssi virus 1,EF071488,test,0,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus abyssi
Rhodobacter phage RcapNL,JQ066768,test,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,Rhodobacter capsulatus
Salicola phage CGphi29,HQ634153,test,0,,,,,,,
Staphylococcus phage phiPVL-CN125,FJ713816,test,0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
Stenotrophomonas phage phiSMA9,AM040673,test,0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia
Streptococcus phage phiBHN167,HF563658,test,0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae
Streptococcus phage IC1,HG799490,test,0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae
Streptococcus phage DCC1738,HG799497,test,0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae
Streptococcus phage K13,HG799496,test,0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae
Streptococcus phage 20617,HG424323,test,0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus
Synechococcus phage S-CBP2,KC310806,test,0,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,Synechococcus elongatus
Cyanophage P-SSP2,GU071107,test,0,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,Synechococcus elongatus
Prochlorococcus phage Syn1,GU071105,test,0,Bacteria,Cyanobacteria,,Chroococcales,,Synechococcus,Synechococcus elongatus
Thermus phage IN93,AB063393,test,0,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,Thermus thermophilus
Vibrio phage douglas 12A4,HQ316580,test,0,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio,Aliivibrio fischeri
Vibrio phage VBM1,HQ317386,test,0,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus
Vibrio phage martha 12B12,HQ316581,test,0,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio splendidus
Vibrio phage helene 12B3,HQ316579,test,0,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio splendidus
Vibrio phage henriette 12B8,HQ316582,test,0,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio splendidus
Acidianus spindle-shaped virus 1,FJ870917,test,Fusello,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus hospitalis
Sulfolobus spindle-shaped virus 4,EU030938,test,Fusello,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus islandicus
Enterobacteria phage f1,JF719732,test,Inoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli
Enterobacteria phage f1,JF719734,test,Inoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli
Enterobacteria phage f1,JF719733,test,Inoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli
